       sample #	   MLII	     V1
              0	    984	   1039
              1	    984	   1039
              2	    984	   1039
              3	    984	   1039
              4	    984	   1039
              5	    984	   1039
              6	    984	   1039
              7	    984	   1039
              8	    987	   1039
              9	    987	   1040
             10	    986	   1039
             11	    985	   1036
             12	    982	   1036
             13	    982	   1036
             14	    985	   1037
             15	    986	   1037
             16	    988	   1039
             17	    988	   1040
             18	    989	   1042
             19	    991	   1041
             20	    990	   1041
             21	    989	   1037
             22	    987	   1036
             23	    985	   1037
             24	    985	   1037
             25	    979	   1035
             26	    979	   1036
             27	    979	   1039
             28	    982	   1039
             29	    981	   1041
             30	    985	   1041
             31	    983	   1041
             32	    982	   1040
             33	    981	   1038
             34	    979	   1037
             35	    978	   1037
             36	    976	   1036
             37	    975	   1036
             38	    972	   1035
             39	    974	   1037
             40	    976	   1037
             41	    977	   1041
             42	    975	   1042
             43	    975	   1040
             44	    975	   1040
             45	    972	   1038
             46	    973	   1036
             47	    972	   1036
             48	    971	   1036
             49	    972	   1037
             50	    969	   1037
             51	    971	   1036
             52	    971	   1038
             53	    970	   1040
             54	    969	   1043
             55	    971	   1040
             56	    970	   1041
             57	    969	   1038
             58	    969	   1036
             59	    967	   1036
             60	    968	   1035
             61	    967	   1035
             62	    969	   1037
             63	    969	   1039
             64	    970	   1039
             65	    971	   1043
             66	    971	   1041
             67	    971	   1040
             68	    970	   1037
             69	    966	   1039
             70	    969	   1040
             71	    968	   1038
             72	    965	   1037
             73	    967	   1037
             74	    965	   1038
             75	    965	   1039
             76	    967	   1041
             77	    966	   1041
             78	    968	   1041
             79	    970	   1041
             80	    967	   1039
             81	    969	   1039
             82	    968	   1036
             83	    967	   1035
             84	    966	   1034
             85	    965	   1033
             86	    965	   1035
             87	    964	   1037
             88	    966	   1041
             89	    966	   1039
             90	    966	   1040
             91	    969	   1041
             92	    968	   1041
             93	    968	   1038
             94	    967	   1037
             95	    964	   1038
             96	    964	   1036
             97	    963	   1039
             98	    965	   1038
             99	    965	   1040
            100	    966	   1041
            101	    968	   1042
            102	    967	   1041
            103	    968	   1044
            104	    971	   1045
            105	    967	   1046
            106	    967	   1045
            107	    969	   1045
            108	    969	   1049
            109	    970	   1052
            110	    972	   1055
            111	    972	   1056
            112	    978	   1056
            113	    982	   1058
            114	    983	   1055
            115	    984	   1052
            116	    986	   1051
            117	    988	   1048
            118	    987	   1045
            119	    992	   1043
            120	    995	   1041
            121	    997	   1039
            122	   1003	   1040
            123	   1005	   1042
            124	   1004	   1040
            125	   1004	   1040
            126	   1002	   1039
            127	    999	   1040
            128	    999	   1036
            129	    996	   1034
            130	    993	   1033
            131	    990	   1033
            132	    988	   1034
            133	    984	   1034
            134	    983	   1035
            135	    981	   1036
            136	    977	   1036
            137	    974	   1037
            138	    973	   1038
            139	    969	   1036
            140	    966	   1035
            141	    967	   1034
            142	    964	   1033
            143	    963	   1030
            144	    962	   1030
            145	    961	   1031
            146	    961	   1030
            147	    960	   1034
            148	    962	   1035
            149	    964	   1037
            150	    964	   1037
            151	    964	   1036
            152	    965	   1036
            153	    965	   1033
            154	    965	   1033
            155	    964	   1032
            156	    962	   1034
            157	    960	   1031
            158	    961	   1034
            159	    962	   1037
            160	    963	   1036
            161	    967	   1037
            162	    966	   1041
            163	    967	   1039
            164	    966	   1043
            165	    964	   1046
            166	    961	   1052
            167	    956	   1059
            168	    949	   1063
            169	    938	   1064
            170	    924	   1063
            171	    914	   1059
            172	    915	   1052
            173	    928	   1042
            174	    967	   1030
            175	   1023	   1020
            176	   1097	   1013
            177	   1176	   1007
            178	   1248	   1003
            179	   1303	    999
            180	   1328	   1001
            181	   1310	   1003
            182	   1252	   1003
            183	   1159	   1010
            184	   1059	   1022
            185	    985	   1046
            186	    940	   1077
            187	    924	   1111
            188	    927	   1142
            189	    930	   1168
            190	    928	   1185
            191	    911	   1196
            192	    891	   1203
            193	    868	   1210
            194	    841	   1216
            195	    822	   1224
            196	    812	   1225
            197	    806	   1222
            198	    809	   1210
            199	    817	   1198
            200	    825	   1183
            201	    842	   1163
            202	    858	   1144
            203	    874	   1126
            204	    890	   1105
            205	    909	   1086
            206	    923	   1073
            207	    936	   1063
            208	    948	   1059
            209	    954	   1054
            210	    959	   1052
