       sample #	   MLII	     V1
              0	    935	   1076
              1	    935	   1076
              2	    935	   1076
              3	    935	   1076
              4	    935	   1076
              5	    935	   1076
              6	    935	   1076
              7	    935	   1076
              8	    934	   1076
              9	    938	   1074
             10	    937	   1074
             11	    943	   1076
             12	    947	   1078
             13	    951	   1074
             14	    953	   1075
             15	    956	   1071
             16	    959	   1071
             17	    963	   1073
             18	    967	   1077
             19	    972	   1074
             20	    975	   1071
             21	    979	   1069
             22	    976	   1067
             23	    979	   1069
             24	    982	   1070
             25	    985	   1070
             26	    986	   1068
             27	    985	   1065
             28	    983	   1065
             29	    983	   1067
             30	    984	   1067
             31	    983	   1067
             32	    982	   1064
             33	    981	   1062
             34	    977	   1062
             35	    977	   1063
             36	    980	   1064
             37	    977	   1063
             38	    976	   1063
             39	    973	   1061
             40	    968	   1060
             41	    969	   1060
             42	    971	   1063
             43	    970	   1064
             44	    970	   1062
             45	    967	   1059
             46	    963	   1058
             47	    963	   1057
             48	    965	   1061
             49	    966	   1058
             50	    964	   1062
             51	    963	   1060
             52	    961	   1059
             53	    962	   1061
             54	    961	   1064
             55	    965	   1062
             56	    964	   1058
             57	    962	   1059
             58	    961	   1058
             59	    961	   1062
             60	    960	   1063
             61	    961	   1057
             62	    963	   1059
             63	    962	   1054
             64	    958	   1055
             65	    959	   1058
             66	    958	   1060
             67	    960	   1059
             68	    960	   1056
             69	    962	   1053
             70	    959	   1052
             71	    958	   1056
             72	    958	   1059
             73	    959	   1056
             74	    959	   1055
             75	    957	   1053
             76	    957	   1054
             77	    958	   1055
             78	    960	   1058
             79	    960	   1058
             80	    957	   1055
             81	    957	   1052
             82	    955	   1052
             83	    956	   1055
             84	    959	   1056
             85	    960	   1055
             86	    959	   1052
             87	    954	   1052
             88	    952	   1051
             89	    954	   1051
             90	    959	   1055
             91	    962	   1051
             92	    959	   1053
             93	    957	   1051
             94	    956	   1052
             95	    956	   1054
             96	    958	   1054
             97	    959	   1054
             98	    957	   1052
             99	    956	   1050
            100	    955	   1050
            101	    958	   1054
            102	    957	   1055
            103	    959	   1054
            104	    959	   1053
            105	    957	   1050
            106	    956	   1051
            107	    959	   1052
            108	    959	   1053
            109	    960	   1052
            110	    959	   1052
            111	    958	   1052
            112	    955	   1051
            113	    959	   1054
            114	    959	   1058
            115	    959	   1055
            116	    960	   1054
            117	    959	   1051
            118	    958	   1052
            119	    957	   1052
            120	    963	   1059
            121	    962	   1063
            122	    965	   1066
            123	    967	   1066
            124	    966	   1067
            125	    975	   1067
            126	    978	   1069
            127	    982	   1069
            128	    978	   1068
            129	    975	   1068
            130	    975	   1065
            131	    979	   1063
            132	    986	   1061
            133	    993	   1058
            134	    995	   1056
            135	    994	   1056
            136	    993	   1058
            137	    994	   1057
            138	    996	   1060
            139	    998	   1057
            140	   1000	   1053
            141	    999	   1051
            142	    996	   1051
            143	    995	   1056
            144	    994	   1057
            145	    993	   1053
            146	    994	   1052
            147	    989	   1049
            148	    984	   1049
            149	    976	   1048
            150	    968	   1048
            151	    959	   1049
            152	    952	   1046
            153	    948	   1044
            154	    946	   1043
            155	    948	   1046
            156	    948	   1049
            157	    950	   1047
            158	    948	   1044
            159	    945	   1043
            160	    941	   1042
            161	    945	   1045
            162	    945	   1045
            163	    948	   1045
            164	    950	   1045
            165	    949	   1046
            166	    946	   1046
            167	    947	   1045
            168	    948	   1049
            169	    951	   1047
            170	    949	   1046
            171	    950	   1043
            172	    944	   1043
            173	    947	   1045
            174	    950	   1046
            175	    949	   1046
            176	    950	   1041
            177	    950	   1041
            178	    952	   1036
            179	    953	   1034
            180	    953	   1036
            181	    951	   1038
            182	    950	   1035
            183	    950	   1030
            184	    953	   1024
            185	    964	   1019
            186	    982	   1010
            187	   1007	    998
            188	   1034	    981
            189	   1071	    962
            190	   1104	    949
            191	   1142	    939
            192	   1179	    941
            193	   1207	    945
            194	   1229	    955
            195	   1244	    963
            196	   1256	    969
            197	   1260	    975
            198	   1242	    984
            199	   1216	    991
            200	   1189	    999
            201	   1166	   1005
            202	   1139	   1013
            203	   1106	   1023
            204	   1075	   1032
            205	   1053	   1032
            206	   1043	   1037
            207	   1025	   1041
            208	   1003	   1043
            209	    985	   1049
            210	    975	   1053
            211	    967	   1052
            212	    959	   1055
            213	    949	   1057
            214	    938	   1057
            215	    930	   1063
            216	    925	   1063
            217	    923	   1060
            218	    920	   1058
            219	    914	   1056
            220	    912	   1055
            221	    914	   1058
            222	    916	   1063
            223	    920	   1063
            224	    916	   1062
            225	    916	   1060
            226	    914	   1058
            227	    915	   1059
            228	    918	   1063
            229	    921	   1064
            230	    918	   1062
            231	    918	   1061
            232	    917	   1063
            233	    915	   1064
            234	    919	   1065
            235	    921	   1066
            236	    922	   1065
            237	    919	   1064
            238	    917	   1065
            239	    920	   1065
            240	    922	   1068
            241	    923	   1069
            242	    922	   1067
            243	    919	   1062
            244	    917	   1065
            245	    917	   1065
            246	    921	   1067
            247	    922	   1067
            248	    921	   1069
            249	    920	   1068
            250	    918	   1065
            251	    915	   1068
            252	    917	   1070
            253	    919	   1069
            254	    921	   1068
            255	    918	   1069
            256	    917	   1069
            257	    918	   1074
            258	    921	   1073
            259	    920	   1074
            260	    918	   1071
            261	    919	   1068
            262	    921	   1070
            263	    920	   1072
            264	    925	   1073
            265	    928	   1075
            266	    926	   1072
            267	    927	   1072
            268	    925	   1071
            269	    930	   1074
            270	    930	   1078
            271	    934	   1077
            272	    935	   1077
            273	    938	   1074
            274	    937	   1074
            275	    940	   1076
            276	    944	   1079
            277	    949	   1074
            278	    950	   1073
            279	    952	   1076
            280	    954	   1076
            281	    958	   1078
            282	    964	   1080
            283	    972	   1077
            284	    974	   1075
            285	    976	   1072
            286	    977	   1072
            287	    978	   1071
            288	    982	   1073
            289	    983	   1072
            290	    988	   1070
            291	    989	   1067
            292	    987	   1066
            293	    990	   1067
            294	    991	   1067
            295	    992	   1067
            296	    993	   1067
            297	    990	   1061
            298	    990	   1063
            299	    989	   1065
            300	    989	   1065
            301	    987	   1063
            302	    987	   1061
            303	    985	   1059
            304	    984	   1059
            305	    981	   1060
            306	    980	   1065
            307	    981	   1061
            308	    978	   1063
            309	    971	   1059
            310	    968	   1057
            311	    971	   1058
            312	    972	   1062
            313	    971	   1061
            314	    973	   1060
            315	    968	   1059
            316	    962	   1057
            317	    963	   1062
            318	    966	   1062
            319	    967	   1061
            320	    964	   1060
            321	    967	   1060
            322	    966	   1058
            323	    966	   1061
            324	    966	   1063
            325	    965	   1059
            326	    965	   1057
            327	    962	   1056
            328	    962	   1057
            329	    962	   1058
            330	    961	   1059
            331	    961	   1061
            332	    961	   1060
            333	    959	   1058
            334	    958	   1057
            335	    959	   1056
            336	    962	   1058
            337	    961	   1057
            338	    960	   1055
            339	    959	   1052
            340	    952	   1055
            341	    957	   1057
            342	    960	   1057
            343	    962	   1056
            344	    960	   1054
            345	    960	   1053
            346	    958	   1053
            347	    958	   1053
            348	    962	   1057
            349	    966	   1055
            350	    964	   1054
            351	    959	   1050
            352	    958	   1049
            353	    955	   1050
            354	    959	   1052
            355	    960	   1053
            356	    960	   1050
            357	    962	   1053
            358	    961	   1053
            359	    960	   1055
