       sample #	   MLII	     V1
              0	   1022	    901
              1	   1022	    901
              2	   1022	    901
              3	   1022	    901
              4	   1022	    901
              5	   1022	    901
              6	   1022	    901
              7	   1022	    901
              8	   1022	    900
              9	   1017	    902
             10	   1010	    905
             11	   1004	    913
             12	    999	    913
             13	    994	    918
             14	    992	    919
             15	    989	    919
             16	    988	    922
             17	    985	    923
             18	    979	    925
             19	    973	    927
             20	    962	    927
             21	    956	    928
             22	    950	    927
             23	    947	    929
             24	    944	    929
             25	    943	    936
             26	    945	    946
             27	    945	    950
             28	    946	    954
             29	    945	    959
             30	    947	    963
             31	    946	    966
             32	    945	    971
             33	    945	    973
             34	    941	    972
             35	    942	    972
             36	    944	    970
             37	    953	    963
             38	    960	    958
             39	    969	    954
             40	    981	    950
             41	    992	    940
             42	    997	    934
             43	   1000	    926
             44	   1001	    919
             45	   1003	    914
             46	   1006	    910
             47	   1008	    908
             48	   1009	    908
             49	   1014	    910
             50	   1013	    907
             51	   1007	    908
             52	    998	    905
             53	    986	    903
             54	    971	    903
             55	    959	    896
             56	    948	    891
             57	    939	    889
             58	    934	    884
             59	    931	    886
             60	    924	    888
             61	    924	    892
             62	    924	    889
             63	    926	    891
             64	    929	    892
             65	    930	    890
             66	    929	    886
             67	    927	    882
             68	    927	    883
             69	    923	    883
             70	    923	    884
             71	    922	    886
             72	    925	    886
             73	    926	    886
             74	    927	    887
             75	    928	    888
             76	    924	    889
             77	    923	    889
             78	    924	    894
             79	    926	    896
             80	    926	    902
             81	    927	    910
             82	    923	    918
             83	    918	    920
             84	    912	    907
             85	    912	    869
             86	    923	    811
             87	    948	    733
             88	    989	    650
             89	   1045	    576
             90	   1113	    523
             91	   1187	    488
             92	   1267	    476
             93	   1339	    477
             94	   1395	    484
             95	   1417	    494
             96	   1400	    504
             97	   1348	    515
             98	   1276	    531
             99	   1196	    550
            100	   1110	    583
            101	   1026	    631
            102	    949	    693
            103	    880	    748
            104	    822	    792
            105	    782	    818
            106	    759	    830
            107	    760	    838
            108	    778	    841
            109	    804	    848
            110	    832	    852
            111	    855	    860
            112	    868	    867
            113	    874	    871
            114	    872	    873
            115	    864	    874
            116	    854	    872
            117	    847	    871
            118	    843	    872
            119	    844	    875
            120	    843	    878
            121	    845	    881
            122	    843	    883
            123	    840	    887
            124	    838	    891
            125	    837	    891
            126	    838	    894
            127	    840	    892
            128	    842	    893
            129	    843	    895
            130	    840	    894
            131	    839	    896
            132	    836	    901
            133	    836	    902
            134	    837	    906
            135	    838	    908
            136	    841	    913
            137	    844	    918
            138	    847	    922
            139	    846	    922
            140	    843	    923
            141	    842	    923
            142	    843	    926
            143	    847	    932
            144	    854	    936
            145	    861	    943
            146	    865	    947
            147	    869	    951
            148	    870	    953
            149	    873	    955
            150	    878	    958
            151	    882	    955
            152	    889	    961
            153	    896	    961
            154	    901	    962
            155	    907	    968
            156	    912	    968
            157	    916	    972
            158	    921	    973
            159	    928	    974
            160	    936	    977
            161	    945	    977
            162	    953	    979
            163	    958	    980
            164	    964	    979
            165	    968	    976
            166	    972	    973
            167	    976	    972
            168	    982	    970
            169	    993	    970
            170	   1003	    972
            171	   1012	    973
            172	   1019	    970
            173	   1026	    969
            174	   1033	    964
            175	   1038	    961
            176	   1044	    954
            177	   1054	    947
            178	   1060	    944
            179	   1068	    942
            180	   1075	    940
            181	   1079	    942
            182	   1084	    946
            183	   1086	    949
            184	   1089	    952
            185	   1096	    953
            186	   1102	    954
            187	   1104	    958
            188	   1100	    958
            189	   1097	    960
            190	   1091	    959
            191	   1084	    957
            192	   1079	    954
            193	   1074	    949
            194	   1070	    949
            195	   1061	    948
            196	   1049	    950
            197	   1042	    953
            198	   1031	    957
            199	   1022	    958
            200	   1011	    962
            201	   1003	    966
            202	    995	    970
            203	    989	    975
            204	    983	    981
            205	    978	    983
            206	    973	    984
            207	    971	    982
            208	    969	    979
            209	    969	    972
            210	    971	    965
            211	    971	    957
            212	    969	    950
            213	    961	    949
            214	    953	    943
            215	    943	    944
            216	    935	    942
            217	    933	    939
            218	    930	    938
            219	    929	    933
            220	    926	    929
            221	    924	    926
            222	    921	    923
            223	    919	    922
            224	    913	    920
            225	    914	    917
            226	    913	    915
            227	    913	    910
            228	    914	    909
            229	    915	    909
            230	    916	    910
            231	    918	    908
            232	    921	    908
            233	    923	    909
            234	    926	    906
            235	    929	    907
            236	    931	    905
            237	    928	    911
            238	    926	    913
            239	    920	    915
            240	    916	    913
            241	    914	    899
            242	    917	    869
            243	    928	    818
            244	    949	    759
            245	    982	    693
            246	   1025	    633
            247	   1082	    584
            248	   1155	    550
            249	   1240	    533
            250	   1326	    523
            251	   1397	    519
            252	   1446	    518
            253	   1459	    520
            254	   1437	    518
            255	   1387	    518
            256	   1326	    524
            257	   1255	    542
            258	   1179	    585
            259	   1106	    646
            260	   1033	    714
            261	    952	    772
            262	    880	    811
            263	    824	    835
            264	    796	    845
            265	    791	    848
            266	    812	    850
            267	    840	    853
            268	    865	    859
            269	    881	    861
            270	    883	    865
            271	    875	    865
            272	    864	    866
            273	    850	    864
            274	    845	    867
            275	    842	    868
            276	    838	    873
            277	    842	    877
            278	    843	    880
            279	    840	    883
            280	    838	    886
            281	    834	    889
            282	    833	    892
            283	    829	    895
            284	    826	    898
            285	    819	    899
            286	    816	    899
            287	    811	    900
            288	    810	    903
            289	    808	    906
            290	    811	    912
            291	    813	    916
            292	    814	    922
            293	    815	    925
            294	    811	    925
            295	    811	    927
            296	    806	    926
            297	    803	    928
            298	    802	    935
            299	    804	    938
